brand,name_1,name_2,category,gender,base_price,url,image
Hugo Boss,BOSS Bottled,,Eau de Toilette Spray,Men,BP: €739.00* / 1000 ml,/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-Bottled/Eau-de-Toilette-Spray/index_12855.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-BOSS-Bottled-Eau-de-Toilette-Spray-12855_26.jpg
Yves Saint Laurent,Y,,Eau de Parfum Spray,Men,BP: €915.83* / 1000 ml,/Yves-Saint-Laurent/Mens-fragrances/Y/Eau-de-Parfum-Spray/index_79931.aspx,https://cdn.parfumdreams.de/Img/Art/13/Yves-Saint-Laurent-Y-Eau-de-Parfum-Spray-79931_22.jpg
Abercrombie & Fitch,Away Weekend Men,,Eau de Toilette Spray,Men,"BP: €1,398.33* / 1000 ml",/Abercrombie-Fitch/Mens-fragrances/Away-Weekend-Men/Eau-de-Toilette-Spray/index_123613.aspx,https://cdn.parfumdreams.de/Img/Art/13/Abercrombie-Fitch-Away-Weekend-Men-Eau-de-Toilette-Spray-123613_4.jpg
Jean Paul Gaultier,Le Mâle,,Eau de Toilette Spray,Men,BP: €923.75* / 1000 ml,/Jean-Paul-Gaultier/Mens-fragrances/Le-Male/Eau-de-Toilette-Spray/index_17304.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jean-Paul-Gaultier-Le-Male-Eau-de-Toilette-Spray-17304_31.jpg
DIOR,Sauvage,Refillable - Citrus and Vanilla Notes,Eau de Parfum Spray,Men,"BP: €2,231.67* / 1000 ml",/DIOR/Mens-fragrances/Sauvage/Eau-de-Parfum-Spray/index_74836.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Sauvage-Eau-de-Parfum-Spray-74836x8_81.jpg
Hej:Pure,Pure Wood,,Eau de Parfum Spray,Men,BP: €699.00* / 1000 ml,/HejPure/Mens-fragrances/Pure-Wood/Eau-de-Parfum-Spray/index_123442.aspx,https://cdn.parfumdreams.de/Img/Art/13/HejPure-Pure-Wood-Eau-de-Parfum-Spray-123442.jpg
Jil Sander,Sun Men,,Eau de Toilette Spray,Men,BP: €698.75* / 1000 ml,/Jil-Sander/Mens-fragrances/Sun-Men/Eau-de-Toilette-Spray/index_17427.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jil-Sander-Sun-Men-Eau-de-Toilette-Spray-17427x1_4.jpg
Jean Paul Gaultier,Le Mâle,,Parfum Spray,Men,"BP: €1,066.00* / 1000 ml",/Jean-Paul-Gaultier/Mens-fragrances/Le-Male/Parfum-Spray/index_122866.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jean-Paul-Gaultier-Le-Male-Elixir-Parfum-Spray-122866_7.jpg
Gisada,Ambassador For Men,,Eau de Parfum Spray,Men,"BP: €1,579.00* / 1000 ml",/Gisada/Mens-fragrances/Ambassador-For-Men/Eau-de-Parfum-Spray/index_94968.aspx,https://cdn.parfumdreams.de/Img/Art/13/Gisada-Ambassador-For-Men-Eau-de-Parfum-Spray-94968.jpg
Paco Rabanne,1 Million,,Eau de Toilette Spray,Men,"BP: €1,279.00* / 1000 ml",/Paco-Rabanne/Mens-fragrances/1-Million/Eau-de-Toilette-Spray/index_13455.aspx,https://cdn.parfumdreams.de/Img/Art/13/Paco-Rabanne-1-Million-Eau-de-Toilette-Spray-13455x3_64.jpg
