perfume_id,brand,name,category,gender,base_price,notes,top_note,heart_note,base_note,fragrance,customer_rating,review_count,url,image
12855,Hugo Boss,BOSS Bottled,Eau de Toilette,Men,739.0,"apple, bergamot, lemon, geranium, carnation, cinnamon, sandalwood, vetiver, cedar","apple, bergamot, lemon","geranium, carnation, cinnamon","sandalwood, vetiver, cedar",fruity,4.9,144,/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-Bottled/Eau-de-Toilette-Spray/index_12855.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-BOSS-Bottled-Eau-de-Toilette-Spray-12855_26.jpg
79931,Yves Saint Laurent,Y,Eau de Parfum,Men,915.83,"apple, bergamot, ginger, geranium, mint, sage, juniper berry, amber, tonka bean, incense","apple, bergamot, ginger","geranium, mint, sage, juniper berry","amber, tonka bean, incense",woody,4.9,137,/Yves-Saint-Laurent/Mens-fragrances/Y/Eau-de-Parfum-Spray/index_79931.aspx,https://cdn.parfumdreams.de/Img/Art/13/Yves-Saint-Laurent-Y-Eau-de-Parfum-Spray-79931_22.jpg
123613,Abercrombie & Fitch,Away Weekend Men,Eau de Toilette,Men,1398.33,"bergamot, cardamom, mandarin, lavender, rosemary, sage, cocoa, patchouli, cedar wood","bergamot, cardamom, mandarin","lavender, rosemary, sage","cocoa, patchouli, cedar wood",citrusy,0.0,0,/Abercrombie-Fitch/Mens-fragrances/Away-Weekend-Men/Eau-de-Toilette-Spray/index_123613.aspx,https://cdn.parfumdreams.de/Img/Art/13/Abercrombie-Fitch-Away-Weekend-Men-Eau-de-Toilette-Spray-123613_4.jpg
17304,Jean Paul Gaultier,Le Mâle,Eau de Toilette,Men,923.75,"bergamot, lavender, mint, spices, orange, cinnamon, amber, sandalwood, tonka bean","bergamot, lavender, mint","spices, orange, cinnamon","amber, sandalwood, tonka bean",spicy,4.9,275,/Jean-Paul-Gaultier/Mens-fragrances/Le-Male/Eau-de-Toilette-Spray/index_17304.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jean-Paul-Gaultier-Le-Male-Eau-de-Toilette-Spray-17304_31.jpg
74836,DIOR,Sauvage Citrus and Vanilla Notes,Eau de Parfum,Men,2231.67,"bergamot, lavender, pepper, amber, patchouli, vetiver","bergamot, lavender",pepper,"amber, patchouli, vetiver",woody,4.9,156,/DIOR/Mens-fragrances/Sauvage/Eau-de-Parfum-Spray/index_74836.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Sauvage-Eau-de-Parfum-Spray-74836x8_81.jpg
17427,Jil Sander,Sun Men,Eau de Toilette,Men,698.75,"bergamot, cascalone, rosemary, flowers, cardamom, nutmeg, amber, musk, sandalwood","bergamot, cascalone, rosemary","flowers, cardamom, nutmeg","amber, musk, sandalwood",woody,4.7,266,/Jil-Sander/Mens-fragrances/Sun-Men/Eau-de-Toilette-Spray/index_17427.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jil-Sander-Sun-Men-Eau-de-Toilette-Spray-17427x1_4.jpg
94968,Gisada,Ambassador For Men,Eau de Parfum,Men,1579.0,"apple, green notes, cardamom, mandarin, violet, lavender, mango, patchouli, pepper, peony, amber, wood, moss, vanilla, vetiver","apple, green notes, cardamom, mandarin, violet","lavender, mango, patchouli, pepper, peony","amber, wood, moss, vanilla, vetiver",oriental,4.9,134,/Gisada/Mens-fragrances/Ambassador-For-Men/Eau-de-Parfum-Spray/index_94968.aspx,https://cdn.parfumdreams.de/Img/Art/13/Gisada-Ambassador-For-Men-Eau-de-Parfum-Spray-94968.jpg
13455,Paco Rabanne,1 Million,Eau de Toilette,Men,1279.0,"grapefruit, mint, spices, rose, cinnamon, wood, leather, patchouli, styrax","grapefruit, mint","spices, rose, cinnamon","wood, leather, patchouli, styrax",spicy,4.9,268,/Paco-Rabanne/Mens-fragrances/1-Million/Eau-de-Toilette-Spray/index_13455.aspx,https://cdn.parfumdreams.de/Img/Art/13/Paco-Rabanne-1-Million-Eau-de-Toilette-Spray-13455x3_64.jpg
90243,Paco Rabanne,1 Million,Parfum,Men,979.0,"grapefruit, mint, spices, rose, cinnamon, wood, leather, patchouli, styrax","grapefruit, mint","spices, rose, cinnamon","wood, leather, patchouli, styrax",spicy,4.8,94,/Paco-Rabanne/Mens-fragrances/1-Million/Parfum-Spray/index_90243.aspx,https://cdn.parfumdreams.de/Img/Art/13/Paco-Rabanne-1-Million-Parfum-Spray-90243_57.jpg
29150,Creed,Aventus,Eau de Parfum,Men,4200.0,"pineapple, apple, bergamot, jasmine, patchouli, rose, amber, musk, vanilla","pineapple, apple, bergamot","jasmine, patchouli, rose","amber, musk, vanilla",fresh,4.5,76,/Creed/Mens-fragrances/Aventus/Eau-de-Parfum-Spray/index_29150.aspx,https://cdn.parfumdreams.de/Img/Art/13/Creed-Aventus-Eau-de-Parfum-Spray-29150_7.jpg
